Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,0.823,0.5499058380414312,0.7174447174447175,0.6226012793176973,0.8668437312505108
Gradient Boosting,0.87,0.7928286852589641,0.48894348894348894,0.6048632218844985,0.8708307691358538
Decision Tree,0.77,0.46074074074074073,0.7641277641277642,0.5748613678373382,0.8378663717646769
Logistic Regression,0.714,0.3877551020408163,0.7002457002457002,0.4991243432574431,0.7771824212502177
Dummy (Most Frequent),0.7965,0.0,0.0,0.0,0.5
